Tanggal,Periode,High_Stock
09-07-2012,1,32.880001
16-07-2012,2,30.5
23-07-2012,3,29.49
30-07-2012,4,24.040001
06-08-2012,5,22.450001
13-08-2012,6,22.450001
20-08-2012,7,20.129999
27-08-2012,8,19.530001
03-09-2012,9,19.42
10-09-2012,10,22.08
17-09-2012,11,23.370001
24-09-2012,12,21.98
01-10-2012,13,22.59
08-10-2012,14,20.75
15-10-2012,15,20.48
22-10-2012,16,24.25
29-10-2012,17,21.690001
05-11-2012,18,21.48
12-11-2012,19,23.93
19-11-2012,20,24.68
26-11-2012,21,28
03-12-2012,22,28.879999
10-12-2012,23,28.75
17-12-2012,24,28.219999
24-12-2012,25,27.18
31-12-2012,26,28.93
07-01-2013,27,31.959999
14-01-2013,28,32.209999
21-01-2013,29,31.93
28-01-2013,30,32.509998
04-02-2013,31,29.290001
11-02-2013,32,28.75
18-02-2013,33,29.08
25-02-2013,34,28.120001
04-03-2013,35,28.68
11-03-2013,36,28.639999
18-03-2013,37,26.9
25-03-2013,38,26.280001
01-04-2013,39,27.799999
08-04-2013,40,28.1
15-04-2013,41,27.48
22-04-2013,42,27.620001
29-04-2013,43,29.07
06-05-2013,44,28.459999
13-05-2013,45,27.33
20-05-2013,46,26.190001
27-05-2013,47,24.950001
03-06-2013,48,24.32
10-06-2013,49,24.6
17-06-2013,50,25.190001
24-06-2013,51,24.98
01-07-2013,52,25.059999
08-07-2013,53,26
15-07-2013,54,26.780001
22-07-2013,55,34.880001
29-07-2013,56,38.490002
05-08-2013,57,39.32
12-08-2013,58,38.5
19-08-2013,59,40.630001
26-08-2013,60,42.259998
02-09-2013,61,44.610001
09-09-2013,62,45.619999
16-09-2013,63,47.599998
23-09-2013,64,51.279999
30-09-2013,65,51.599998
07-10-2013,66,51.290001
14-10-2013,67,54.830002
21-10-2013,68,54.810001
28-10-2013,69,52.09
04-11-2013,70,50.450001
11-11-2013,71,49.57
18-11-2013,72,48.84
25-11-2013,73,47.209999
02-12-2013,74,49.389999
09-12-2013,75,53.5
16-12-2013,76,55.889999
23-12-2013,77,58.580002
30-12-2013,78,55.650002
06-01-2014,79,58.959999
13-01-2014,80,58.57
20-01-2014,81,59.310001
27-01-2014,82,63.369999
03-02-2014,83,64.57
10-02-2014,84,67.580002
17-02-2014,85,70.110001
24-02-2014,86,71.440002
03-03-2014,87,71.970001
10-03-2014,88,72.589996
17-03-2014,89,69.599998
24-03-2014,90,67.360001
31-03-2014,91,63.91
07-04-2014,92,63.18
14-04-2014,93,60.580002
21-04-2014,94,63.650002
28-04-2014,95,62.279999
05-05-2014,96,61.349998
12-05-2014,97,60.889999
19-05-2014,98,61.48
26-05-2014,99,64.300003
02-06-2014,100,64.360001
09-06-2014,101,66.470001
16-06-2014,102,65.75
23-06-2014,103,68
30-06-2014,104,68.440002
07-07-2014,105,66.589996
14-07-2014,106,68.459999
21-07-2014,107,76.739998
28-07-2014,108,75.5
04-08-2014,109,74
11-08-2014,110,74.650002
18-08-2014,111,75.580002
25-08-2014,112,75.989998
01-09-2014,113,77.480003
08-09-2014,114,78.360001
15-09-2014,115,78.300003
22-09-2014,116,78.940002
29-09-2014,117,79.709999
06-10-2014,118,77.949997
13-10-2014,119,76
20-10-2014,120,80.82
27-10-2014,121,81.160004
03-11-2014,122,76.800003
10-11-2014,123,75.480003
17-11-2014,124,75.660004
24-11-2014,125,78.269997
01-12-2014,126,77.309998
08-12-2014,127,78.879997
15-12-2014,128,80
22-12-2014,129,82.169998
29-12-2014,130,80.959999
05-01-2015,131,79.25
12-01-2015,132,78.080002
19-01-2015,133,78.190002
26-01-2015,134,78.470001
02-02-2015,135,76.349998
09-02-2015,136,76.870003
16-02-2015,137,80.339996
23-02-2015,138,81.370003
02-03-2015,139,81.989998
09-03-2015,140,79.910004
16-03-2015,141,84.599998
23-03-2015,142,86.07
30-03-2015,143,84.339996
06-04-2015,144,83.419998
13-04-2015,145,83.940002
20-04-2015,146,85.589996
27-04-2015,147,82.93
04-05-2015,148,79.690002
11-05-2015,149,81.849998
18-05-2015,150,81.690002
25-05-2015,151,81.07
01-06-2015,152,82.949997
08-06-2015,153,82.900002
15-06-2015,154,83.190002
22-06-2015,155,89.400002
29-06-2015,156,87.949997
06-07-2015,157,88.220001
13-07-2015,158,95.389999
20-07-2015,159,99.239998
27-07-2015,160,97.279999
03-08-2015,161,98.739998
10-08-2015,162,95.900002
17-08-2015,163,96.099998
24-08-2015,164,91.480003
31-08-2015,165,91.050003
07-09-2015,166,92.080002
14-09-2015,167,95.510002
21-09-2015,168,96.489998
28-09-2015,169,92.290001
05-10-2015,170,94.269997
12-10-2015,171,97.589996
19-10-2015,172,102.849998
26-10-2015,173,105.120003
02-11-2015,174,110.650002
09-11-2015,175,109.870003
16-11-2015,176,107.879997
23-11-2015,177,107.470001
30-11-2015,178,107.919998
07-12-2015,179,106.910004
14-12-2015,180,107.75
21-12-2015,181,106.110001
28-12-2015,182,107.739998
04-01-2016,183,103.769997
11-01-2016,184,100.580002
18-01-2016,185,98.07
25-01-2016,186,112.839996
01-02-2016,187,117.589996
08-02-2016,188,105.110001
15-02-2016,189,106
22-02-2016,190,109.449997
29-02-2016,191,110.550003
07-03-2016,192,109.419998
14-03-2016,193,112.690002
21-03-2016,194,113.190002
28-03-2016,195,116.989998
04-04-2016,196,114.889999
11-04-2016,197,112.650002
18-04-2016,198,114.040001
25-04-2016,199,120.790001
02-05-2016,200,119.639999
09-05-2016,201,121.080002
16-05-2016,202,119.610001
23-05-2016,203,119.849998
30-05-2016,204,120.099998
06-06-2016,205,119.43
13-06-2016,206,115.480003
20-06-2016,207,115.209999
27-06-2016,208,115.18
04-07-2016,209,117.5
11-07-2016,210,118.720001
18-07-2016,211,122.199997
25-07-2016,212,128.330002
01-08-2016,213,125.839996
08-08-2016,214,126.089996
15-08-2016,215,124.919998
22-08-2016,216,125.190002
29-08-2016,217,126.860001
05-09-2016,218,131.979996
12-09-2016,219,129.179993
19-09-2016,220,130.729996
26-09-2016,221,129.470001
03-10-2016,222,129.279999
10-10-2016,223,130.699997
17-10-2016,224,132.130005
24-10-2016,225,133.5
31-10-2016,226,132.119995
07-11-2016,227,124.610001
14-11-2016,228,119.129997
21-11-2016,229,122.980003
28-11-2016,230,122.099998
05-12-2016,231,119.940002
12-12-2016,232,122.5
19-12-2016,233,120.360001
26-12-2016,234,118.68
02-01-2017,235,123.879997
09-01-2017,236,129.270004
16-01-2017,237,128.479996
23-01-2017,238,133.139999
30-01-2017,239,135.490005
06-02-2017,240,134.940002
13-02-2017,241,134.699997
20-02-2017,242,136.789993
27-02-2017,243,137.820007
06-03-2017,244,139.490005
13-03-2017,245,140.339996
20-03-2017,246,142.309998
27-03-2017,247,142.949997
03-04-2017,248,143.440002
10-04-2017,249,141.429993
17-04-2017,250,144.25
24-04-2017,251,151.529999
01-05-2017,252,153.600006
08-05-2017,253,152.589996
15-05-2017,254,151.479996
22-05-2017,255,152.589996
29-05-2017,256,153.630005
05-06-2017,257,155.589996
12-06-2017,258,152.399994
19-06-2017,259,155.199997
26-06-2017,260,156.5
03-07-2017,261,152.149994
10-07-2017,262,160.320007
17-07-2017,263,165.699997
24-07-2017,264,175.490005
31-07-2017,265,172.720001
07-08-2017,266,173.050003
14-08-2017,267,171.5
21-08-2017,268,169.869995
28-08-2017,269,172.919998
04-09-2017,270,173.490005
11-09-2017,271,174
18-09-2017,272,173.050003
25-09-2017,273,171.660004
02-10-2017,274,172.369995
09-10-2017,275,174.880005
16-10-2017,276,176.740005
23-10-2017,277,178.210007
30-10-2017,278,182.899994
06-11-2017,279,180.75
13-11-2017,280,179.979996
20-11-2017,281,183.149994
27-11-2017,282,184.25
04-12-2017,283,182.279999
11-12-2017,284,180.490005
18-12-2017,285,181.300003
25-12-2017,286,178.940002
01-01-2018,287,186.899994
08-01-2018,288,188.899994
15-01-2018,289,182.369995
22-01-2018,290,190.660004
29-01-2018,291,195.320007
05-02-2018,292,190.610001
12-02-2018,293,180.5
19-02-2018,294,183.389999
26-02-2018,295,185.660004
05-03-2018,296,185.509995
12-03-2018,297,186.100006
19-03-2018,298,177.169998
26-03-2018,299,162.850006
02-04-2018,300,161.570007
09-04-2018,301,168.649994
16-04-2018,302,169
23-04-2018,303,177.100006
30-04-2018,304,178.080002
07-05-2018,305,188.320007
14-05-2018,306,187.860001
21-05-2018,307,186.910004
28-05-2018,308,194.550003
04-06-2018,309,195
11-06-2018,310,197.279999
18-06-2018,311,203.550003
25-06-2018,312,200.75
02-07-2018,313,203.639999
09-07-2018,314,208.429993
16-07-2018,315,211.5
23-07-2018,316,218.619995
30-07-2018,317,178.850006
06-08-2018,318,188.300003
13-08-2018,319,182.610001
20-08-2018,320,175.550003
27-08-2018,321,179.789993
03-09-2018,322,173.889999
10-09-2018,323,167.190002
17-09-2018,324,167.25
24-09-2018,325,171.770004
01-10-2018,326,165.880005
08-10-2018,327,160.589996
15-10-2018,328,160.490005
22-10-2018,329,157.339996
29-10-2018,330,156.399994
05-11-2018,331,153.009995
12-11-2018,332,145.580002
19-11-2018,333,137.75
26-11-2018,334,140.970001
03-12-2018,335,143.679993
10-12-2018,336,147.190002
17-12-2018,337,145.929993
24-12-2018,338,135.919998
31-12-2018,339,138
07-01-2019,340,145.360001
14-01-2019,341,152.429993
21-01-2019,342,151.529999
28-01-2019,343,171.679993
04-02-2019,344,172.470001
11-02-2019,345,168.339996
18-02-2019,346,164.149994
25-02-2019,347,166.240005
04-03-2019,348,173.570007
11-03-2019,349,174.300003
18-03-2019,350,167.419998
25-03-2019,351,169.449997
01-04-2019,352,178
08-04-2019,353,179.630005
15-04-2019,354,180.740005
22-04-2019,355,198.479996
29-04-2019,356,197.389999
06-05-2019,357,194.279999
13-05-2019,358,188.580002
20-05-2019,359,186.740005
27-05-2019,360,184.710007
03-06-2019,361,175.050003
10-06-2019,362,181.839996
17-06-2019,363,194.529999
24-06-2019,364,198.880005
01-07-2019,365,197.399994
08-07-2019,366,205.300003
15-07-2019,367,205.470001
22-07-2019,368,208.660004
29-07-2019,369,199.630005
05-08-2019,370,190.979996
12-08-2019,371,191.380005
19-08-2019,372,187.5
26-08-2019,373,186.800003
02-09-2019,374,191.360001
09-09-2019,375,190.929993
16-09-2019,376,193.100006
23-09-2019,377,190.100006
30-09-2019,378,180.979996
07-10-2019,379,186.490005
14-10-2019,380,191.490005
21-10-2019,381,190.649994
28-10-2019,382,198.089996
04-11-2019,383,197.369995
11-11-2019,384,195.699997
18-11-2019,385,200
25-11-2019,386,203.800003
02-12-2019,387,202.179993
09-12-2019,388,203.660004
16-12-2019,389,207.710007
23-12-2019,390,208.929993
30-12-2019,391,210.399994
06-01-2020,392,219.880005
13-01-2020,393,222.630005
20-01-2020,394,222.75
27-01-2020,395,224.199997
03-02-2020,396,212.820007
10-02-2020,397,214.929993
17-02-2020,398,218.770004
24-02-2020,399,203.649994
02-03-2020,400,197.240005
09-03-2020,401,178.289993
16-03-2020,402,159.929993
23-03-2020,403,164
30-03-2020,404,170.929993
06-04-2020,405,177.080002
13-04-2020,406,181.229996
20-04-2020,407,190.410004
27-04-2020,408,209.690002
04-05-2020,409,213.210007
11-05-2020,410,215.279999
18-05-2020,411,237.199997
25-05-2020,412,240.899994
01-06-2020,413,233
08-06-2020,414,241.210007
15-06-2020,415,240.830002
22-06-2020,416,245.190002
29-06-2020,417,240
06-07-2020,418,247.649994
13-07-2020,419,250.149994
20-07-2020,420,246.910004
27-07-2020,421,255.850006
03-08-2020,422,278.890015
10-08-2020,423,273.859985
17-08-2020,424,270.48999
24-08-2020,425,304.670013
31-08-2020,426,303.600006
07-09-2020,427,279.299988
14-09-2020,428,276.640015
21-09-2020,429,257.98999
28-09-2020,430,268.329987
05-10-2020,431,265.690002
12-10-2020,432,280.179993
19-10-2020,433,285.23999
26-10-2020,434,285.230011
02-11-2020,435,297.380005
09-11-2020,436,292.579987
16-11-2020,437,279.410004
23-11-2020,438,280.179993
30-11-2020,439,291.779999
07-12-2020,440,288.48999
14-12-2020,441,280.440002
21-12-2020,442,274.670013
28-12-2020,443,280.51001
04-01-2021,444,275
11-01-2021,445,263.470001
18-01-2021,446,278.470001
25-01-2021,447,286.790009
01-02-2021,448,269.200012
08-02-2021,449,273.799988
15-02-2021,450,276.600006
22-02-2021,451,267.459991
01-03-2021,452,266.709991
08-03-2021,453,277.899994
15-03-2021,454,292.799988
22-03-2021,455,299.709991
29-03-2021,456,302.399994
05-04-2021,457,315.880005
12-04-2021,458,314.429993
19-04-2021,459,307.700012
26-04-2021,460,331.809998
03-05-2021,461,328.549988
10-05-2021,462,316.850006
17-05-2021,463,319.929993
24-05-2021,464,333.779999
31-05-2021,465,332.459991
07-06-2021,466,338.299988
14-06-2021,467,339.920013
21-06-2021,468,344.899994
28-06-2021,469,358.140015
05-07-2021,470,358.790009
12-07-2021,471,358.48999
19-07-2021,472,375.329987
26-07-2021,473,377.549988
02-08-2021,474,365.149994
09-08-2021,475,365.779999
16-08-2021,476,366.950012
23-08-2021,477,373.73999
30-08-2021,478,384.329987
06-09-2021,479,383.790009
13-09-2021,480,381.75
20-09-2021,481,361.029999
27-09-2021,482,355.149994
04-10-2021,483,338.839996
11-10-2021,484,330.519989
18-10-2021,485,343.980011
25-10-2021,486,330.209991
01-11-2021,487,346.790009
08-11-2021,488,344.790009
15-11-2021,489,353.649994
22-11-2021,490,353.829987
29-11-2021,491,340.670013
06-12-2021,492,336.130005
13-12-2021,493,344.459991
20-12-2021,494,336.670013
27-12-2021,495,352.709991
03-01-2022,496,343.089996
10-01-2022,497,336.369995
17-01-2022,498,327.820007
24-01-2022,499,309.529999
31-01-2022,500,328
07-02-2022,501,238.300003
14-02-2022,502,221.149994
21-02-2022,503,211.320007
28-02-2022,504,213.149994
07-03-2022,505,200.889999
14-03-2022,506,216.800003
21-03-2022,507,225.5
28-03-2022,508,231.149994
04-04-2022,509,236.860001
11-04-2022,510,222.029999
18-04-2022,511,218.429993
25-04-2022,512,212.479996
02-05-2022,513,224.300003
09-05-2022,514,202.960007
16-05-2022,515,205.460007
23-05-2022,516,196.990005
30-05-2022,517,200.940002
06-06-2022,518,202.029999
13-06-2022,519,172.580002
20-06-2022,520,170.25
